DATE,HOUR,PRICE
01/01/2017,1,0.02027
01/01/2017,2,0.0197
01/01/2017,3,0.01929
01/01/2017,4,0.01946
01/01/2017,5,0.02035
01/01/2017,6,0.02353
01/01/2017,7,0.02723
01/01/2017,8,0.02713
01/01/2017,9,0.02499
01/01/2017,10,0.02527
01/01/2017,11,0.02531
01/01/2017,12,0.02461
01/01/2017,13,0.02369
01/01/2017,14,0.02314
01/01/2017,15,0.02321
01/01/2017,16,0.02489
01/01/2017,17,0.03116
01/01/2017,18,0.03232
01/01/2017,19,0.03071
01/01/2017,20,0.02927
01/01/2017,21,0.02637
01/01/2017,22,0.02376
01/01/2017,23,0.02227
01/01/2017,24,0.02244
01/02/2017,1,0.02145
01/02/2017,2,0.02146
01/02/2017,3,0.02092
01/02/2017,4,0.02097
01/02/2017,5,0.0212
01/02/2017,6,0.02182
01/02/2017,7,0.02262
01/02/2017,8,0.02345
01/02/2017,9,0.0254
01/02/2017,10,0.02641
01/02/2017,11,0.02704
01/02/2017,12,0.02734
01/02/2017,13,0.02667
01/02/2017,14,0.02516
01/02/2017,15,0.02552
01/02/2017,16,0.02708
01/02/2017,17,0.03482
01/02/2017,18,0.03716
01/02/2017,19,0.03316
01/02/2017,20,0.03064
01/02/2017,21,0.02684
01/02/2017,22,0.02381
01/02/2017,23,0.02312
01/02/2017,24,0.02226
01/03/2017,1,0.02127
01/03/2017,2,0.02147
01/03/2017,3,0.02173
01/03/2017,4,0.02178
01/03/2017,5,0.02373
01/03/2017,6,0.02752
01/03/2017,7,0.03409
01/03/2017,8,0.03088
01/03/2017,9,0.03077
01/03/2017,10,0.03212
01/03/2017,11,0.03141
01/03/2017,12,0.03138
01/03/2017,13,0.03015
01/03/2017,14,0.02921
01/03/2017,15,0.02888
01/03/2017,16,0.02988
01/03/2017,17,0.03663
01/03/2017,18,0.0398
01/03/2017,19,0.03471
01/03/2017,20,0.0333
01/03/2017,21,0.02945
01/03/2017,22,0.02616
01/03/2017,23,0.02388
01/03/2017,24,0.02226
01/04/2017,1,0.02111
01/04/2017,2,0.02094
01/04/2017,3,0.02109
01/04/2017,4,0.02141
01/04/2017,5,0.02353
