# {"t_start": 1567529116.7353914, "env_id": "SmartHome-v1"} 
r,l,t
-20.897124,144,3.593363
-4.407874,144,3.785865
-5.98947,144,3.974644
-5.861604,144,4.155231
-6.358392,144,4.342126
-12.137389,144,4.517955
-9.415771,144,4.699015
-16.31217,144,4.891828
-5.656204,144,5.093882
-23.444344,144,5.316285
-15.429316,144,5.524945
-23.231681,144,5.720008
0.638874,144,5.973796
-9.067244,144,6.272968
-14.010332,144,6.507817
-9.493532,144,6.721908
-12.575093,144,6.904968
-20.489891,144,7.095426
-2.90743,144,7.285906
-15.999726,144,7.499419
-12.769286,144,7.719129
-18.868806,144,7.90493
-11.731433,144,8.3216
0.333622,144,8.615971
-17.116041,144,8.884614
-13.534632,144,9.130177
-22.450858,144,9.323412
-17.849896,144,9.592467
0.814155,144,9.804628
-20.869129,144,9.986421
-6.523745,144,10.199508
-40.98036,144,10.406914
-8.799175,144,10.611773
0.736305,144,10.86065
1.630072,144,11.075071
-20.592432,144,11.263037
-19.97205,144,11.452659
0.814692,144,11.66527
-8.100286,144,11.884842
-19.339653,144,12.090775
-11.266668,144,12.304727
-13.096098,144,12.525013
-19.156758,144,12.736365
-15.637394,144,12.928041
0.999684,144,13.256621
-12.293635,144,13.655793
0.645017,144,14.059919
-7.608304,144,14.468056
0.98994,144,14.751117
-13.782292,144,14.942038
1.247319,144,15.113546
-15.48057,144,15.323523
1.100834,144,15.502532
1.110388,144,15.705749
1.267072,144,15.899985
-13.703909,144,16.102447
-12.282865,144,16.302444
-11.559009,144,16.491353
-10.749951,144,16.71591
-4.749554,144,16.910202
-17.594927,144,17.153426
-16.462312,144,17.382441
-17.341357,144,17.58624
-22.354773,144,17.789775
-23.795317,144,17.986396
0.959926,144,18.20265
-14.914447,144,18.406563
0.967652,144,18.601982
-12.821899,144,18.826775
-11.542615,144,19.026238
0.727397,144,19.222801
-19.744619,144,19.417083
-7.18199,144,19.616266
-4.227227,144,19.801299
-8.54338,144,20.022232
-4.45245,144,20.234048
-28.566302,144,20.452229
-4.79797,144,20.687592
-31.162869,144,20.92733
-10.751936,144,21.124625
-15.780711,144,21.35158
0.814065,144,21.520211
-27.176031,144,21.768866
-23.619903,144,21.972218
0.402794,144,22.163776
-15.868862,144,22.370807
-20.859084,144,22.553113
-7.351105,144,22.74227
-12.014653,144,22.919681
-10.409167,144,23.124768
-9.776496,144,23.343376
-16.556507,144,23.56897
-7.16857,144,23.774277
0.750718,144,23.971919
-21.422018,144,24.172994
-19.826696,144,24.369255
-14.641598,144,24.566282
-11.919565,144,24.768319
1.237746,144,24.968255
-6.677442,144,25.163776
-20.345112,144,34.801651
1.394251,144,36.167266
-6.211933,144,36.374819
-13.889059,144,36.5543
0.732747,144,36.737316
1.099752,144,36.922183
-11.953208,144,37.12399
-8.938182,144,37.328437
-20.1121,144,37.53037
-9.040802,144,37.741577
-9.803433,144,37.925703
-16.384879,144,38.125844
-4.007427,144,38.310013
0.647533,144,38.589143
-26.898682,144,38.798183
-11.500852,144,39.028591
-10.570003,144,39.254746
-13.247374,144,39.470615
-20.747571,144,39.680899
0.942653,144,39.900124
-9.100559,144,40.120565
-13.631071,144,40.326465
-17.968693,144,40.553506
-11.721517,144,40.913455
0.695694,144,41.106437
-10.522434,144,41.31406
-14.838109,144,41.549244
-15.975528,144,41.744502
-14.577936,144,41.933513
1.012736,144,42.150454
0.644769,144,42.339444
-9.507865,144,42.540051
-14.020885,144,42.753235
-10.956031,144,43.068468
-14.303815,144,43.327335
-9.510777,144,43.56282
0.888237,144,43.837467
-10.470153,144,44.035813
0.773557,144,44.28085
-19.580863,144,44.47956
-17.328034,144,44.685456
1.162423,144,44.877731
-15.085391,144,45.0706
-8.196306,144,45.26531
0.670718,144,45.453658
-22.287917,144,45.648012
0.687298,144,45.83842
-7.040677,144,46.032736
-12.606365,144,46.253455
0.768571,144,46.441567
-23.784415,144,46.624978
0.525441,144,46.82727
-6.697792,144,47.012071
-15.246388,144,47.198367
-17.320594,144,47.382057
-18.409414,144,47.572814
-22.887957,144,47.76874
1.452635,144,47.964284
-17.872443,144,48.158529
-9.824447,144,48.368651
-16.330569,144,48.562638
-4.223329,144,48.809365
-10.483309,144,49.022517
-5.348008,144,49.217987
-18.379992,144,49.417783
-17.182718,144,49.619398
-17.386793,144,49.81829
-13.857125,144,50.006318
-11.892038,144,50.198785
-27.479824,144,50.422748
1.172931,144,50.632582
-5.139853,144,50.808932
