# {"t_start": 1562337504.3660805, "env_id": "EVCharging-v2"} 
r,l,t
-2.984774,12,2.59409
-6.265195,14,2.669927
-13.233522,14,2.748671
-8.191579,14,2.821421
-7.629513,15,2.87902
-9.895974,15,2.931104
-6.004839,13,2.976254
-11.21366,15,5.150707
-29.574508,13,5.196722
-41.64859,15,5.247287
-31.444686,13,5.291867
-41.812803,15,5.343338
-28.826986,15,5.398683
-25.062814,14,5.445999
-2.249483,14,6.155867
-2.139793,11,6.196398
-2.722618,13,6.24217
-0.978837,14,6.288932
-1.811538,13,6.333648
-0.852112,13,6.382257
-0.359754,15,6.494451
-1.465642,12,7.491809
-50.497705,15,7.567818
-51.731224,16,7.68333
-28.529882,14,7.819964
-33.365731,15,7.914787
-32.040459,14,7.964077
-30.109874,14,8.01378
-33.276555,13,8.651354
-40.519035,13,8.724468
-38.700159,13,8.794873
-39.160417,13,8.865597
-29.41281,13,8.960746
-59.500253,15,9.095538
-45.982814,13,9.208383
-60.052165,15,9.317366
-5.317001,14,9.984751
-5.180059,15,10.037405
-5.765749,14,10.0856
-3.284387,13,10.131618
-2.820975,13,10.176283
-15.846278,17,10.242511
-4.506708,12,10.286225
-11.478458,16,10.84143
-40.265318,15,10.897868
-39.095043,13,10.963509
-37.044525,14,11.043213
-34.010296,13,11.116801
-27.408093,12,11.178576
-31.71582,13,11.251669
-1.670034,11,11.909558
-0.296719,15,11.99445
-1.129603,15,12.078215
-0.526317,14,12.148807
-0.889863,17,12.22307
-0.974503,13,12.281596
-0.434682,14,12.351075
-3.307489,17,12.769874
-15.803144,14,12.842984
-22.166816,14,12.89128
-19.239682,14,12.935316
-13.572081,16,12.983112
-11.428165,12,13.021502
-11.916749,13,13.061783
-6.002843,12,13.449974
-14.009355,14,13.492338
-25.389495,14,13.53487
-24.447639,15,13.580599
-13.232352,15,13.626652
-11.083493,12,13.664789
-19.63193,14,13.708896
-28.946933,15,14.273072
-28.734569,12,14.331813
-46.892592,14,14.399983
-47.871438,15,14.457441
-24.51324,12,14.528841
-39.165923,14,14.636675
-29.353557,11,14.685249
-38.841292,13,14.733006
-20.159273,12,15.161658
-1.024198,16,15.215078
-1.475908,13,15.262857
-0.908891,17,15.324397
-1.37549,12,15.367558
-1.802501,16,15.42459
-1.760345,14,15.471955
-3.08607,14,15.87182
-1.144506,15,15.921225
-1.033606,16,15.969234
-2.214211,16,16.017392
